ID,name,description,start_date,end_date,inclusion_criteria,inclusion_criteria_subcode,source_incident_detection_disclosure,incident_type,receiver_name,receiver_country,receiver_region,receiver_category,receiver_category_subcode,initiator_name,initiator_country,initiator_category,initiator_category_subcode,number_of_attributions,attribution_date,attribution_type,attribution_basis,attributing_actor,attribution_it_company,attributing_country,attributed_initiator,attributed_initiator_country,attributed_initiator_category,attributed_initiator_subcategory,sources_attribution,cyber_conflict_issue,offline_conflict_issue,offline_conflict_name_HIIK,offline_conflict_intensity,offline_conflict_intensity_subcode,number_of_political_responses,political_response_date,political_response_type,political_response_type_subcode,political_response_country,political_response_actor,zero_days,zero_days_subcode,MITRE_initial_access,MITRE_impact,user_interaction,has_disruption,data_theft,disruption,hijacking,physical_effects_spatial,physical_effects_temporal,unweighted_cyber_intensity,target_multiplier,weighted_cyber_intensity,impact_indicator,impact_indicator_value,functional_impact,intelligence_impact,political_impact_affected_entities,political_impact_affected_entities_exact_value,political_impact_third_countries,political_impact_third_countries_exact_value,economic_impact,economic_impact_exact_value,economic_impact_currency,state_responsibility_indicator,IL_breach_indicator,IL_breach_indicator_subcode,evidence_for_sanctions_indicator,number_of_legal_responses,legal_response_date,legal_response_type,legal_response_type_subcode,legal_response_country,legal_response_actor,legal_attribution_reference,legal_attribution_reference_subcode,legal_response_indicator,casualties,sources_url
994,Cuba Ransomware Gang disrupted Montenegro government servers in DDOS and Ransomware attack - 2022,"An initial attack against the Montenegro government occurred on August 20, 2022, and by August 22, 2022, the government reported that ""two series of cyber-attacks on government servers"" were occurring. According to the malware researchers at VX-Underground, the Cuba Ransomware Gang claimed responsibility, via their leak site During the cyber attack, 150 workstations in 10 state institutions in Montenegro were disrupted, including the Ministry of Finance, using the virus Zerodate. The hackers also claimed to have stolen internal information and the media reported that exfiltrated information was leaked. Disclosed data comprised financial documents, correspondence with banks, balance sheets, tax documents, compensation, and source code tied to the Montenegrin parliament, according to the hacker group and Montenegrin state officials. Additionally, the media reported that the hackers demanded $10 million as a ransom payment; however, officials have now stated that a demand for ransom payment was never received. The cyber attack included targeting electricity systems, ""water supply systems, transportation services and online government services;"" and infected data at the Ministry of Public Administration and ""some retail tax collection."" The National Security Agency (ANB) stated that the attack was ""unprecedented."" EPCG, a state-owned power utility, switched to manual operation as a preventative measure after the ANB warned that they could be a target during the attack. Public Administration Minister Maras Dukaj stated that the attack was still ongoing on September 1, 2022, and many government websites were still unavailable to users. Having the digital infrastructure of the government and judicial system remain offline also led to delays in court processes since users could not access the Judicial Information System, PRIS. Experts identified that tactics of the cyber attack involved both DDOS and ransomware.

Shortly after the attack, Deputy Prime Minister and Minister of Defense Rasko Konjevic noted his belief that the government had gathered sufficient evidence to link the interference to Russia, supported by an informal press briefing by Montenegro's National Security Agency that pointed to ""several Russian services"" as the sponsors of the attack. In a meeting on October 4, the National Security Council concluded to wait for further details from foreign partners to make any determination of the responsible party with confidence. Anonymous high-ranking officials of the Montenegrin National Security Agency (ANB) continue to suspect that Russian security services are responsible for the cyber-attack that held critical infrastructure, specifically electricity and water supply, at risk and forced a switch to manual control of power plants. In a rare instance, the US embassy in Montenegro issued a security alert on August 26, 2022, advising to limit movement to necessary travel in response to uncertain disruptions to public utilities, transportation, and telecommunication caused by a ""persistent and ongoing cyber-attack"". Reporting on August 31st, 2022, stated that the US would send FBI cyber experts, called Cyber Action Teams (CAT), to Montenegro in a support capacity. France sent a team from the National Agency for the Security of Information Systems. The states sent support in response due to Montenegro's NATO membership and the commitment to collective defense of the NATO alliance.

Experts are not readily willing to link the Cuba ransomware gang to the Russian government. However, researchers who have analyzed the ransom negotiations with the cyber threat actors claim that the hackers linked to the leak site for the group speak Russian. The cyber gang was first noticeable in 2020.",2022-08-20,2022-09-02,"Attack on (inter alia) political target(s), politicized",,Incident disclosed by IT-security company; Incident disclosed by attacker; Incident disclosed by authorities of victim state,Data theft & Doxing; Disruption; Ransomware,"[['Ministry of Finance (Montenegro)'], ['Parliament (Montenegro)'], ['Not available'], ['Not available']]","['Montenegro', 'Montenegro', 'Montenegro', 'Montenegro']","[['EUROPE', 'BALKANS', 'NATO', 'WBALKANS'], ['EUROPE', 'BALKANS', 'NATO', 'WBALKANS'], ['EUROPE', 'BALKANS', 'NATO', 'WBALKANS'], ['EUROPE', 'BALKANS', 'NATO', 'WBALKANS']]","[['State institutions / political system'], ['State institutions / political system'], ['State institutions / political system'], ['Critical infrastructure']]","[['Government / ministries'], ['Legislative'], ['Government / ministries'], ['Energy']]",['Cuba Ransomware'],['Not available'],['Non-state-group'],['Criminal(s)'],3,2022-08-19; 2022-08-31; 2022-08-26,"Self-attribution in the course of the attack (e.g., via defacement statements on websites); Political statement / report (e.g., on government / state agency websites); Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Attacker confirms; Attribution by receiver government / state entity; Attribution by receiver government / state entity,"Cuba Ransomware; Marash Dukaj (Public Administration Minister, Montenegro); Agencija za Nacionalnu Bezbjednost (ANB)",,Montenegro; Montenegro; Montenegro,Cuba Ransomware; Not available; Not available,Not available; Not available; Russia,Non-state-group; Non-state-group; State,Criminal(s); Criminal(s); ,"['https://www.rferl.org/a/montenegro-cyberattack-russia/32006237.html', 'https://www.reuters.com/world/europe/montenegro-blames-criminal-gang-cyber-attacks-government-2022-08-31/', 'https://www.bleepingcomputer.com/news/security/montenegro-hit-by-ransomware-attack-hackers-demand-10-million/', 'https://www.euractiv.com/section/global-europe/news/cyberattack-hits-montenegro-government-defence-minister-points-at-russia/', 'https://mobile.twitter.com/javnaupravamne/status/1565043988800978944']",Not available,Not available,,Not available,,2,2022-08-26; 2022-09-02; NaT,State Actors: Preventive measures; N; N,Awareness raising; ; ,Montenegro; United States; France,Rasko Konjevic (Minister of Defense); Federal Bureau of Investigation (FBI); National Agency for the Security of Information Systems (France),No,,Not available,Data Exfiltration; Data Encrypted for Impact,Not available,True,For private / commercial targets: non-sensitive information (incident scores 1 point in intensity),Long-term disruption (> 24h; incident scores 2 points in intensity),Not available,none,none,3,Moderate - high political importance,3.0,Low,8.0,Weeks (< 4 weeks),"Minor data breach/exfiltration (no critical/sensitive information), data corruption (deletion/altering) and/or leaking of data  ",Not available,0.0,Not available,0.0,Not available,0.0,euro,None/Negligent,Sovereignty,,Not available,0,,,,Montenegro,,Not available,,No response justified (missing state attribution & breach of international law),,"['https://therecord.media/north-korea-hackers-funding-us-south-korea-advisory/', 'https://www.gov.me/en/News/169508/Web-portal-of-Government-of-Montenegro-and-several-other-web-sites-were-under-enhanced-cyberattacks.html', 'https://www.rferl.org/a/montenegro-cyberattack-russia/32006237.html', 'https://lookingglasscyber.com/blog/threat-intelligence-insights/cyber-monitor-september22022/', 'https://therecord.media/fbi-and-french-officials-arrive-in-montenegro-to-investigate-ransomware-attack/', 'https://www.securityweek.com/montenegro-wrestles-massive-cyberattack-russia-blamed', 'https://securityaffairs.co/wordpress/135667/hacking/montenegro-massive-cyber-attack.html', 'https://www.bleepingcomputer.com/news/security/cuba-ransomware-affiliate-targets-ukrainian-govt-agencies/', 'https://www.reuters.com/world/europe/montenegro-blames-criminal-gang-cyber-attacks-government-2022-08-31/', 'https://www.reuters.com/world/montenegro-says-fbi-will-help-investigate-cyber-attacks-2022-08-31/', 'https://orf.at/stories/3284892/', 'https://www.bleepingcomputer.com/news/security/montenegro-hit-by-ransomware-attack-hackers-demand-10-million/', 'https://www.bleepingcomputer.com/news/security/montenegro-says-russian-cyberattacks-threaten-key-state-functions/', 'https://me.usembassy.gov/security-alert-montenegro-august-26-2022/', 'https://www.euractiv.com/section/global-europe/news/cyberattack-hits-montenegro-government-defence-minister-points-at-russia/', 'https://mobile.twitter.com/mdukaj1/status/1563047270345748482', 'https://mobile.twitter.com/mdukaj1/status/1563047271964352513', 'https://mobile.twitter.com/javnaupravamne/status/1565043988800978944', 'https://twitter.com/BlackBerrySpark/status/1586085423314599937', 'https://me.usembassy.gov/security-alert-montenegro-august-26-2022/', 'https://www.gov.me/en/article/national-security-council-holds-its-third-session-2', 'https://www.spiegel.de/netzwelt/montenegro-sieht-ausreichende-hinweise-fuer-russische-cyberattacke-a-2b48d900-9389-4fb7-9c1c-d3e99ba72486#ref=rss', 'https://www.reuters.com/world/europe/montenegros-state-infrastructure-hit-by-cyber-attack-officials-2022-08-26/', 'https://slate.com/technology/2022/09/russia-cyberattack-montenegro-ukraine.html', 'https://apnews.com/article/russia-ukraine-technology-hacking-montenegro-2a8eb2df87f657b6d7b9971b7419bff9', 'https://balkaninsight.com/2022/09/07/montenegro-blames-slowed-court-processes-on-cyber-attacks/', 'https://politicalviolenceataglance.org/2022/09/21/who-attacked-montenegro-the-moral-and-strategic-hazards-of-misassigning-blame/', 'https://balkaninsight.com/2022/08/29/montenegro-still-assessing-damage-from-mystery-cyber-attacks/', 'https://cybernews.com/cyber-war/montenegro-blames-cuba-ransomware-for-attacking-the-country/', 'https://shared-public-reports.s3-eu-west-1.amazonaws.com/Cuba+Ransomware+Group+-+on+a+roll.pdf', 'https://www.ic3.gov/Media/News/2021/211203-2.pdf', 'https://www.latimes.com/world-nation/story/2022-09-12/nato-montenegro-massive-cyberattack-russia-blamed']"
995,Black Hat Hackers leak Navy Data of India,"Bangladeshi Hacker group ""Black Hat Hackers"" extracts and leaks personal information of Indian Navy officials from government servers.",2017-02-25,2017-02-25,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals; Attack on (inter alia) political target(s), not politicized",,Incident disclosed by attacker,Data theft & Doxing,,['India'],"[['ASIA', 'SASIA', 'SCO']]",[['State institutions / political system']],[['Military']],['Black Hat Hackers'],['Bangladesh'],['Non-state-group'],['Ethnic actors'],1,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,Black Hat Hackers,Bangladesh,Non-state-group,Ethnic actors,[],Territory; International power,Unknown,,Unknown,,0,,,,,,No,,,,,False,For private / commercial targets: non-sensitive information (incident scores 1 point in intensity),none,none,none,none,1,Moderate - high political importance,1.0,,,,,,,,,,,,,,,,0,,,,,,,,,,['https://www.hackread.com/indian-navy-officers-private-details-leaked-by-bangladeshi-black-hat-hackers/']
996,Luxembourg DDoS 2017,DDoS attack takes down Luxembourg government servers,2017-02-27,2017-02-27,"Attack on (inter alia) political target(s), not politicized",,Incident disclosed by media (without further information on source),Disruption,,['Luxembourg'],"[['EUROPE', 'NATO', 'EU', 'WESTEU']]",[['State institutions / political system']],[['Government / ministries']],,['Unknown'],['Unknown - not attributed'],,1,,"Attribution given, type unclear",Media-based attribution,,,,,Unknown,Unknown - not attributed,,[],Unknown,Unknown,,Unknown,,0,,,,,,No,,,,,True,none,Long-term disruption (> 24h; incident scores 2 points in intensity),none,none,none,2,Moderate - high political importance,2.0,,,,,,,,,,,,,,,,0,,,,,,,,,,['https://www.ibtimes.co.uk/ddos-attack-takes-down-luxembourg-government-servers-1609380']
997,US DDoS towards North Korean,"The United States targeted North Korea’s military spy agency. The attack was a distributed denial of service (DDoS) campaign with an aim to flood North Korean spy agency’s servers with traffic, crippling its access to the internet.",2017-03-01,2017-01-01,"Attack conducted by nation state (generic “state-attribution” or direct attribution towards specific state-entities, e.g., intelligence agencies); Attack on (inter alia) political target(s), politicized",,Incident disclosed by attacker,Disruption,,"[""Korea, Democratic People's Republic of""]","[['ASIA', 'NEA']]",[['State institutions / political system']],[['Intelligence agencies']],['US CYCOM'],['United States'],['State'],,1,2017-01-01 00:00:00,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Attribution by receiver government / state entity,,,,US CYCOM,United States,State,,['https://thediplomat.com/2017/10/how-to-make-sense-of-offensive-us-cyber-operations-against-north-korean-military-intelligence/'],System / ideology; International power,Unknown,,Unknown,,0,,,,,,No,,,,,True,none,Long-term disruption (> 24h; incident scores 2 points in intensity),none,none,none,2,Moderate - high political importance,2.0,,,,,,,,,,,,,,,,0,,,,,,,,,,"['https://www.cybersecurityintelligence.com/blog/cyberwarfare-us-launches-ddos-attacks-against-n-korean-spy-agency-2902.html', 'https://thediplomat.com/2017/10/how-to-make-sense-of-offensive-us-cyber-operations-against-north-korean-military-intelligence/']"
998,Unknown hacker attacks Kansas department of Commerce,A security breach in the Kansas Department of Commerce exposes millions of Social Security numbers from people across 10 states to hackers. Many other accounts are also attacked.,2017-03-01,2017-03-01,"Attack on (inter alia) political target(s), not politicized",,Incident disclosed by authorities of victim state,Data theft,,['United States'],"[['NATO', 'NORTHAM']]",[['State institutions / political system']],[['Civil service / administration']],,['Unknown'],['Unknown - not attributed'],,1,,"Attribution given, type unclear",Media-based attribution,,,,,Unknown,Unknown - not attributed,,[],Unknown,Unknown,,Unknown,,0,,,,,,No,,,,,False,For private / commercial targets: sensitive information (incident scores 2 points in intensity),none,none,none,none,2,Moderate - high political importance,2.0,,,,,,,,,,,,,,,,0,,,,,,,,,,['https://www.kcur.org/post/hackers-kansas-system-accessed-social-security-numbers-millions-10-states#stream/0']
999,DarkHydrusin 2017,The hacker group DarkHydrusaka Copy Kittenaka LazyMeerkat in 2017 mainly hacked the governmental and educational sector of different Middle East countries. The hacks are mainly harvesting attacks.,2017-03-01,2017-12-31,"Attack on (inter alia) political target(s), not politicized",,Incident disclosed by IT-security company,Data theft,,['Middle East (region)'],,[['State institutions / political system']],[['Government / ministries']],['DarkHydrus/LazyMeerkat'],['Unknown'],['Unknown - not attributed'],,1,,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,DarkHydrus/LazyMeerkat,Unknown,Unknown - not attributed,,[],Unknown,Unknown,,Unknown,,0,,,,,,No,,,,,False,For private / commercial targets: non-sensitive information (incident scores 1 point in intensity),none,none,none,none,1,Moderate - high political importance,1.0,,,,,,,,,,,,,,,,0,,,,,,,,,,['https://unit42.paloaltonetworks.com/unit42-darkhydrus-uses-phishery-harvest-credentials-middle-east/']
1000,Unknown group attacks Democratic Party in Pennsylvania (USA),"The Pennsylvania Senate Democratic Caucus was hit by a ransomware attack, blocking access to its entire IT systems and web servers. The separate networks used by Democratic state senators remained unaffected.",2017-03-03,2017-03-03,"Attack on (inter alia) political target(s), not politicized",,Incident disclosed by victim,Disruption; Hijacking with Misuse; Ransomware,,['United States'],"[['NATO', 'NORTHAM']]",[['State institutions / political system']],[['Political parties']],,['Unknown'],['Unknown - not attributed'],,1,,"Attribution given, type unclear",Media-based attribution,,,,,Unknown,Unknown - not attributed,,[],Unknown,Unknown,,Unknown,,0,,,,,,No,,Not available,Data Encrypted for Impact,Not available,True,Not available,Long-term disruption (> 24h; incident scores 2 points in intensity),"Hijacking, system misuse, e.g., through data theft and / or disruption (incident scores 2 points in intensity)",none,none,3,Moderate - high political importance,3.0,,0.0,,,,0.0,,0.0,,0.0,euro,,,,,0,,,,,,,,,,"['https://www.nbcnews.com/news/us-news/senate-democrats-pennsylvania-are-being-held-cyber-hostage-n728901', 'https://www.zdnet.com/article/pennsylvania-senate-democrats-paid-700000-to-recover-from-ransomware-attack/']"
1001,Attack on various US progressive groups (probably by CozyBear),"New reports reveal that Russian hackers are targeting U.S. progressive groups in a new wave of attacks. According to the report, at least a dozen groups have faced extortion attempts since the U.S. presidential election. The ransom demands are accompanied by samples of sensitive data in the hackers’ possession.",2017-03-06,2017-03-06,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals","Attack conducted by a state-affiliated group (includes state-sanctioned, state-supported, state-controlled but officially non-state actors) (“cyber-proxies”) / a group that is generally attributed as state-affiliated ",Incident disclosed by media (without further information on source),Data theft,,['United States'],"[['NATO', 'NORTHAM']]",[['Social groups']],[['Other social groups']],['Cozy Bear/APT29/Dukes/Group 100/IRON HEMLOCK/NOBELIUM/UNC2452/Cozy Duke/YTTRIUM/G0016 (SVR)'],['Russia'],"['Non-state actor, state-affiliation suggested']",,2,2017-01-01; 2017-01-01,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.); Media report (e.g., Reuters makes an attribution statement, without naming further sources)",Attribution by receiver government / state entity; Media-based attribution,,,,Cozy Bear/APT29/Dukes/Group 100/IRON HEMLOCK/NOBELIUM/UNC2452/Cozy Duke/YTTRIUM/G0016 (SVR); Cozy Bear/APT29/Dukes/Group 100/IRON HEMLOCK/NOBELIUM/UNC2452/Cozy Duke/YTTRIUM/G0016 (SVR),Russia; Russia,"Non-state actor, state-affiliation suggested; Non-state actor, state-affiliation suggested",,[],Unknown,Unknown,,Unknown,,0,,,,,,No,,,,,False,For private / commercial targets: non-sensitive information (incident scores 1 point in intensity),none,none,none,none,1,Moderate - high political importance,1.0,,,,,,,,,,,,,,,,0,,,,,,,,,,[]
1002,RanRan Ransomware deployed against government entitites in the Middle East,"Malware researchers at Palo Alto Networks discovered a new strain of ransomware, dubbed Ran Ran, that has been used in targeted attacks against government organizations in the Middle East.",2017-03-08,2017-03-08,"Attack on (inter alia) political target(s), not politicized",,Incident disclosed by IT-security company,Disruption; Hijacking with Misuse; Ransomware,,['Mena Region (region)'],,[['State institutions / political system']],[['Government / ministries']],,['Unknown'],['Unknown - not attributed'],,1,,"Attribution given, type unclear",Media-based attribution,,,,,Unknown,Unknown - not attributed,,[],Unknown,Unknown,,Unknown,,0,,,,,,No,,Not available,Data Encrypted for Impact,Not available,True,Not available,Long-term disruption (> 24h; incident scores 2 points in intensity),"Hijacking, system misuse, e.g., through data theft and / or disruption (incident scores 2 points in intensity)",none,none,3,Moderate - high political importance,3.0,,0.0,,,,0.0,,0.0,,0.0,euro,,,,,0,,,,,,,,,,['https://securityaffairs.co/wordpress/57031/malware/ranran-ransomware.html']
1003,Turkish hackers attack several Dutch websites,Turkish hackergroups target a large number of Dutch websites after the political fallout between the Netherlands and Turkey over the weekend.,2017-03-11,2017-03-11,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals",,Incident disclosed by attacker,Disruption,,['Netherlands'],"[['EUROPE', 'NATO', 'EU', 'WESTEU']]",[['Media']],,['Akincilar'],['Turkey'],['Non-state-group'],['Hacktivist(s)'],1,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,Akincilar,Turkey,Non-state-group,Hacktivist(s),[],System / ideology,Unknown,,Unknown,,0,,,,,,No,,,,,True,none,Long-term disruption (> 24h; incident scores 2 points in intensity),none,none,none,2,Moderate - high political importance,2.0,,,,,,,,,,,,,,,,0,,,,,,,,,,['https://nltimes.nl/2017/03/14/turkish-hacker-groups-focus-cyberattacks-dutch-websites-incl-nl-times']
1004,Canadian Statistics website got shut down by hackers,The Canadian government confirms that the Statistics Canada website is hacked and taken offline for over two days. In the aftermath of the cyberattack parts of the Canada Revenue Agency's (CRA) site is also reportedly taken offline by authorities as a precaution.,2017-03-14,2017-03-16,"Attack on (inter alia) political target(s), politicized",,Incident disclosed by authorities of victim state,Disruption,,['Canada'],"[['NATO', 'NORTHAM']]",[['State institutions / political system']],[['Civil service / administration']],,['Unknown'],['Unknown - not attributed'],,1,,"Attribution given, type unclear",Media-based attribution,,,,,Unknown,Unknown - not attributed,,[],Unknown,Unknown,,Unknown,,0,,,,,,No,,,,,True,none,Long-term disruption (> 24h; incident scores 2 points in intensity),none,none,none,2,Moderate - high political importance,2.0,,,,,,,,,,,,,,,,0,,,,,,,,,,['https://www.ibtimes.co.uk/statistics-canada-site-hit-by-hackers-taken-offline-peak-tax-season-1611419']
1005,Ransomware found in the systems of the Tweede Kamer(NLD),"Ransomware is found on the computersystems of the Tweede Kamer, the lower house of Dutch parliament.",2017-03-28,2017-03-28,"Attack on (inter alia) political target(s), politicized",,Incident disclosed by victim,Disruption; Ransomware,,['Netherlands'],"[['EUROPE', 'NATO', 'EU', 'WESTEU']]",[['State institutions / political system']],[['Legislative']],,['Unknown'],['Unknown - not attributed'],,1,,"Attribution given, type unclear",Media-based attribution,,,,,Unknown,Unknown - not attributed,,[],Unknown,Unknown,,Unknown,,0,,,,,,No,,Phishing,Data Encrypted for Impact,Required,True,Not available,Long-term disruption (> 24h; incident scores 2 points in intensity),Not available,none,none,1,Moderate - high political importance,1.0,,0.0,,,,0.0,,0.0,,0.0,euro,,,,,0,,,,,,,,,,['https://nltimes.nl/2017/03/28/ransomware-found-dutch-parliament']
1006,IAAF Hack,IAAF says medical records compromised by Fancy Bear hackinggroup,2017-04-01,2017-04-01,"Attack conducted by nation state (generic “state-attribution” or direct attribution towards specific state-entities, e.g., intelligence agencies)",,Incident disclosed by victim,Data theft; Hijacking with Misuse,,['International Association of Athletics Federations'],,[['International / supranational organization']],,"['Fancy Bear/APT28/Sofacy/Pawn Storm/Group 74/Sednit/Tsar Team/STRONTIUM/Grizzly Steppe/SNAKEMACKEREL/IRON TWILIGHT/TG-4127/Group G0007 (GRU, 85th Main Special Service Center (GTsSS) Military Unit 26165)']",['Russia'],['State'],,2,2017-01-01; 2017-01-01,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media; Domestic legal action",Receiver attributes attacker; Attribution by third-party,,,,"Fancy Bear/APT28/Sofacy/Pawn Storm/Group 74/Sednit/Tsar Team/STRONTIUM/Grizzly Steppe/SNAKEMACKEREL/IRON TWILIGHT/TG-4127/Group G0007 (GRU, 85th Main Special Service Center (GTsSS) Military Unit 26165); Fancy Bear/APT28/Sofacy/Pawn Storm/Group 74/Sednit/Tsar Team/STRONTIUM/Grizzly Steppe/SNAKEMACKEREL/IRON TWILIGHT/TG-4127/Group G0007 (GRU, 85th Main Special Service Center (GTsSS) Military Unit 26165)",Russia; Russia,State; State,,['https://www.justice.gov/opa/documents-and-resources-october-4-2018-press-conference'],Other,Unknown,,Unknown,,0,,,,,,No,,,,,False,For private / commercial targets: sensitive information (incident scores 2 points in intensity),none,"Hijacking, system misuse, e.g., through data theft and / or disruption (incident scores 2 points in intensity)",none,none,4,Moderate - high political importance,4.0,,,,,,,,,,,,,,,,0,,,,,,,,,,"['https://www.reuters.com/article/us-sport-doping-iaaf-idUSKBN1750ZM', 'https://www.justice.gov/opa/documents-and-resources-october-4-2018-press-conference']"
960,Operation Wocao,"An unknown actor with direct ties to the Chinese government leveraged malware deposited by other threatactors, to gain access to high-level networks in various countries",2017-01-01,2019-01-01,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals; Attack on (inter alia) political target(s), not politicized","Attack conducted by a state-affiliated group (includes state-sanctioned, state-supported, state-controlled but officially non-state actors) (“cyber-proxies”) / a group that is generally attributed as state-affiliated ; ",Incident disclosed by IT-security company,Data theft; Hijacking with Misuse,,"['United States', 'Brazil', 'China', 'France', 'Germany', 'Italy', 'Mexico', 'Spain', 'Portugal', 'United Kingdom']","[['NATO', 'NORTHAM'], ['SOUTHAM'], ['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO'], ['EUROPE', 'NATO', 'EU', 'WESTEU'], ['EUROPE', 'NATO', 'EU', 'WESTEU'], ['EUROPE', 'NATO', 'EU'], [], ['EUROPE', 'NATO', 'EU'], ['EUROPE', 'NATO', 'EU'], ['EUROPE', 'NATO', 'EU', 'NORTHEU']]","[['State institutions / political system', 'Critical infrastructure', 'Critical infrastructure', 'Critical infrastructure', 'Critical infrastructure', 'Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)'], ['State institutions / political system', 'Critical infrastructure', 'Critical infrastructure', 'Critical infrastructure', 'Critical infrastructure', 'Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)'], ['State institutions / political system', 'Critical infrastructure', 'Critical infrastructure', 'Critical infrastructure', 'Critical infrastructure', 'Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)'], ['State institutions / political system', 'Critical infrastructure', 'Critical infrastructure', 'Critical infrastructure', 'Critical infrastructure', 'Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)'], ['State institutions / political system', 'Critical infrastructure', 'Critical infrastructure', 'Critical infrastructure', 'Critical infrastructure', 'Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)'], ['State institutions / political system', 'Critical infrastructure', 'Critical infrastructure', 'Critical infrastructure', 'Critical infrastructure', 'Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)'], ['State institutions / political system', 'Critical infrastructure', 'Critical infrastructure', 'Critical infrastructure', 'Critical infrastructure', 'Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)'], ['State institutions / political system', 'Critical infrastructure', 'Critical infrastructure', 'Critical infrastructure', 'Critical infrastructure', 'Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)'], ['State institutions / political system', 'Critical infrastructure', 'Critical infrastructure', 'Critical infrastructure', 'Critical infrastructure', 'Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)'], ['State institutions / political system', 'Critical infrastructure', 'Critical infrastructure', 'Critical infrastructure', 'Critical infrastructure', 'Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)']]","[['', 'Energy', 'Transportation', 'Health', 'Finance', ''], ['', 'Energy', 'Transportation', 'Health', 'Finance', ''], ['', 'Energy', 'Transportation', 'Health', 'Finance', ''], ['', 'Energy', 'Transportation', 'Health', 'Finance', ''], ['', 'Energy', 'Transportation', 'Health', 'Finance', ''], ['', 'Energy', 'Transportation', 'Health', 'Finance', ''], ['', 'Energy', 'Transportation', 'Health', 'Finance', ''], ['', 'Energy', 'Transportation', 'Health', 'Finance', ''], ['', 'Energy', 'Transportation', 'Health', 'Finance', ''], ['', 'Energy', 'Transportation', 'Health', 'Finance', '']]",['APT 20'],['China'],"['Non-state actor, state-affiliation suggested']",,1,2019-01-01 00:00:00,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,APT 20,China,"Non-state actor, state-affiliation suggested",,[],Unknown,Unknown,,Unknown,,0,,,,,,No,,,,,False,For private / commercial targets: non-sensitive information (incident scores 1 point in intensity),none,"Hijacking, system misuse, e.g., through data theft and / or disruption (incident scores 2 points in intensity)",none,none,3,Moderate - high political importance,3.0,,,,,,,,,,,,,,,,0,,,,,,,,,,['https://resources.fox-it.com/rs/170-CAK-271/images/201912_Report_Operation_Wocao.pdf']
